Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-10-13,2230.600098,2285.75,2225.850098,2280.699951,2273.386719,10666190,,,,,,
2020-10-14,2278.899902,2304,2268.5,2287.5,2280.164795,12341434,,,,,,
2020-10-15,2290,2290,2195,2206.5,2199.424561,9246702,,,,,,
2020-10-16,2215,2232.5,2172.649902,2175.800049,2168.822998,9960828,,,,,,
2020-10-19,2190.050049,2228.699951,2155.149902,2176.199951,2169.22168,14398973,,,,,,
2020-10-20,2179,2193,2152.25,2155.899902,2148.986816,8529573,,,,,,
2020-10-21,2168,2192,2097.75,2124.600098,2117.787354,15728986,,,,,,
2020-10-22,2127.399902,2132.5,2091,2106.949951,2100.193848,14215215,,,,,,
2020-10-23,2106,2135,2096.399902,2113.050049,2106.274414,10809307,,,,,,
2020-10-26,2101.949951,2101.949951,2018.5,2029.099976,2022.593384,17225212,,,,,,
2020-10-27,2034.900024,2059.850098,2005,2034.5,2027.976196,16835005,,,,,,
2020-10-28,2041.800049,2057.699951,2007.400024,2011.449951,2005,13809929,,,,,,
2020-10-29,1997,2042,1991,2026.900024,2020.400513,14147418,,,,,,
2020-10-30,2033.5,2065.100098,2021.800049,2054.5,2047.911987,15700946,,,,,,
2020-11-02,2027,2027,1859.150024,1877.449951,1871.429688,45857806,,,,,,
2020-11-03,1890,1909,1835.099976,1850.400024,1844.466553,40931170,,,,,,
2020-11-04,1837,1929,1837,1913.199951,1907.065063,37003111,,,,,,
2020-11-05,1954.949951,1960.949951,1932,1955,1948.731079,17170274,,,,,,
2020-11-06,1990,2040,1978.150024,2029.150024,2022.643311,30770080,,,,,,
2020-11-09,2062.100098,2069,2036,2050.699951,2044.124146,16539467,,,,,,
2020-11-10,2077,2090,2041.199951,2084.550049,2077.865723,17045147,,,,,,
2020-11-11,2089,2095,1978.099976,1997.199951,1990.795654,26178477,,,,,,
2020-11-12,1981,2008.449951,1965,1980,1973.650879,18481466,,,,,,
2020-11-13,1982,2036.650024,1981.75,1996.400024,1989.998291,20946864,,,,,,
2020-11-14,,,,,,,,,,,,
2020-11-17,2085,2085,1985,1993.25,1986.858398,21479385,,,,,,
2020-11-18,1993.25,2006.5,1960.099976,1987.199951,1980.827759,14030652,,,,,,
2020-11-19,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008,,,,,,
2020-11-20,1975,1983.800049,1895,1899.5,1893.409058,26522972,,,,,,
2020-11-23,1951,1970,1926.25,1950.699951,1944.444824,20918665,,,,,,
2020-11-24,1964,1974,1932,1964.050049,1957.752075,14277083,,,,,,
