Date,Open,High,Low,Close,AdjClose,Volume,SMAOpen,SMAHigh,SMALow,SMAClose,SMAAdjClose,SMAVolumeI
2020-10-13,2230.60,2285.75,2225.85,2280.70,2273.39,10666190.00,2241.27,2264.93,2217.42,2237.52,2230.34,11009473.70
2020-10-14,2278.90,2304.00,2268.50,2287.50,2280.16,12341434.00,2246.66,2268.93,2222.65,2241.76,2234.57,11050984.30
2020-10-15,2290.00,2290.00,2195.00,2206.50,2199.42,9246702.00,2249.66,2271.23,2219.65,2238.97,2231.80,10846587.80
2020-10-16,2215.00,2232.50,2172.65,2175.80,2168.82,9960828.00,2244.78,2268.10,2215.51,2234.03,2226.87,10883525.00
2020-10-19,2190.05,2228.70,2155.15,2176.20,2169.22,14398973.00,2239.38,2266.06,2210.43,2230.43,2223.28,11450135.40
2020-10-20,2179.00,2193.00,2152.25,2155.90,2148.99,8529573.00,2234.76,2261.97,2205.49,2224.98,2217.85,11453371.10
2020-10-21,2168.00,2192.00,2097.75,2124.60,2117.79,15728986.00,2228.06,2250.27,2193.26,2211.69,2204.60,10572435.10
2020-10-22,2127.40,2132.50,2091.00,2106.95,2100.19,14215215.00,2214.89,2236.72,2180.15,2198.46,2191.42,11021216.10
2020-10-23,2106.00,2135.00,2096.40,2113.05,2106.27,10809307.00,2201.99,2224.92,2168.08,2186.43,2179.41,11246272.30
2020-10-26,2101.95,2101.95,2018.50,2029.10,2022.59,17225212.00,2188.69,2209.54,2147.30,2165.63,2158.69,12312242.00
2020-10-27,2034.90,2059.85,2005.00,2034.50,2027.98,16835005.00,2169.12,2186.95,2125.22,2141.01,2134.14,12929123.50
2020-10-28,2041.80,2057.70,2007.40,2011.45,2005.00,13809929.00,2145.41,2162.32,2099.11,2113.40,2106.63,13075973.00
2020-10-29,1997.00,2042.00,1991.00,2026.90,2020.40,14147418.00,2116.11,2137.52,2078.71,2095.44,2088.73,13566044.60
2020-10-30,2033.50,2065.10,2021.80,2054.50,2047.91,15700946.00,2097.96,2120.78,2063.62,2083.31,2076.63,14140056.40
2020-11-02,2027.00,2027.00,1859.15,1877.45,1871.43,45857806.00,2081.65,2100.61,2034.02,2053.44,2046.86,17285939.70
2020-11-03,1890.00,1909.00,1835.10,1850.40,1844.47,40931170.00,2052.75,2072.21,2002.31,2022.89,2016.40,20526099.40
2020-11-04,1837.00,1929.00,1837.00,1913.20,1907.07,37003111.00,2019.65,2045.91,1976.23,2001.75,1995.33,22653511.90
2020-11-05,1954.95,1960.95,1932.00,1955.00,1948.73,17170274.00,2002.41,2028.76,1960.33,1986.55,1980.18,22949017.80
2020-11-06,1990.00,2040.00,1978.15,2029.15,2022.64,30770080.00,1990.81,2019.26,1948.51,1978.16,1971.82,24945095.10
2020-11-09,2062.10,2069.00,2036.00,2050.70,2044.12,16539467.00,1986.83,2015.96,1950.26,1980.32,1973.97,24876520.60
2020-11-10,2077.00,2090.00,2041.20,2084.55,2077.87,17045147.00,1991.04,2018.97,1953.88,1985.33,1978.96,24897534.80
2020-11-11,2089.00,2095.00,1978.10,1997.20,1990.80,26178477.00,1995.76,2022.71,1950.95,1983.90,1977.54,26134389.60
2020-11-12,1981.00,2008.45,1965.00,1980.00,1973.65,18481466.00,1994.16,2019.35,1948.35,1979.21,1972.87,26567794.40
2020-11-13,1982.00,2036.65,1981.75,1996.40,1990.00,20946864.00,1989.01,2016.50,1944.34,1973.40,1967.08,27092386.20
2020-11-14,0.00,0.00,0.00,0.00,0.00,0.00,1786.31,1813.80,1758.43,1785.66,1779.93,22506605.60
2020-11-17,2085.00,2085.00,1985.00,1993.25,1986.86,21479385.00,1805.81,1831.40,1773.42,1799.94,1794.17,20561427.10
2020-11-18,1993.25,2006.50,1960.10,1987.20,1980.83,14030652.00,1821.43,1839.15,1785.73,1807.34,1801.55,18264181.20
2020-11-19,1987.20,2010.45,1968.20,1973.15,1966.82,12828008.00,1824.66,1844.10,1789.35,1809.16,1803.36,17829954.60
2020-11-20,1975.00,1983.80,1895.00,1899.50,1893.41,26522972.00,1823.16,1838.48,1781.03,1796.19,1790.44,17405243.80
2020-11-23,1951.00,1970.00,1926.25,1950.70,1944.44,20918665.00,1812.04,1828.58,1770.06,1786.19,1780.47,17843163.60
2020-11-24,1964.00,1974.00,1932.00,1964.05,1957.75,14277083.00,1800.74,1816.98,1759.14,1774.14,1768.46,17566357.20
2020-11-25,1980.00,1992.95,1942.20,1947.80,1941.55,15062376.00,1789.84,1806.78,1755.55,1769.21,1763.53,16454747.10
2020-11-26,1953.05,1965.00,1930.05,1952.60,1946.34,11924527.00,1787.05,1802.43,1752.05,1766.47,1760.80,15799053.20
2020-11-27,1940.50,1956.10,1921.40,1929.80,1923.61,21845931.00,1782.90,1794.38,1746.02,1759.81,1754.16,15888959.90
2020-12-01,1940.35,1966.25,1930.05,1954.90,1948.63,9114939.00,1976.93,1991.00,1939.03,1955.30,1949.03,16800453.80
2020-12-02,1958.50,1962.00,1935.00,1958.15,1951.87,10240168.00,1964.28,1978.70,1934.03,1951.79,1945.53,15676532.10
2020-12-03,1972.00,1981.10,1958.65,1964.05,1957.75,12822945.00,1962.16,1976.16,1933.88,1949.47,1943.22,15555761.40
2020-12-04,1969.00,1969.00,1940.00,1946.75,1940.51,8521388.00,1960.34,1972.02,1931.06,1946.83,1940.59,15125099.40
2020-12-07,1940.60,1965.00,1940.60,1958.20,1951.92,8418767.00,1956.90,1970.14,1935.62,1952.70,1946.44,13314678.90
2020-12-08,1961.15,2014.25,1950.00,1993.75,1987.36,20030506.00,1957.92,1974.56,1938.00,1957.01,1950.73,13225863.00
2020-12-09,2009.95,2033.80,1999.25,2026.95,2020.45,13464375.00,1962.51,1980.54,1944.72,1963.30,1957.00,13144592.20
2020-12-10,2021.60,2028.50,2001.00,2007.00,2000.56,7414229.00,1966.67,1984.10,1950.60,1969.22,1962.90,12379777.50
2020-12-11,2013.00,2038.00,1974.25,2005.80,1999.37,12434745.00,1972.66,1991.40,1955.02,1974.54,1968.20,12430799.30
